wavelength_um,snr
1.206331206496519703e+00,1.123206894584353854e+01
1.206347641144624783e+00,1.123486757214199372e+01
1.206364075792730084e+00,1.123593317293448912e+01
1.206380510440835163e+00,1.123699865448775270e+01
1.206396945088940242e+00,1.123648292746648814e+01
1.206413379737045544e+00,1.123484823431306268e+01
1.206429814385150623e+00,1.123400219952381818e+01
1.206446249033255924e+00,1.123816150456649510e+01
1.206462683681361003e+00,1.124232936798222937e+01
1.206479118329466083e+00,1.124569226510872433e+01
1.206495552977571384e+00,1.124869713974523222e+01
1.206511987625676685e+00,1.124988325513497855e+01
1.206528422273781764e+00,1.124546177792309898e+01
1.206544856921887066e+00,1.124103784048402765e+01
1.206561291569992145e+00,1.123976852891339107e+01
1.206577726218097224e+00,1.123929783614216582e+01
1.206594160866202525e+00,1.124222992432704515e+01
1.206610595514307605e+00,1.125146289013324363e+01
1.206627030162412906e+00,1.126069845561360516e+01
1.206643464810518207e+00,1.126396976142524053e+01
1.206659899458623286e+00,1.126660435982607211e+01
1.206676334106728365e+00,1.126760162583002689e+01
1.206692768754833667e+00,1.126664587136009388e+01
1.206709203402938746e+00,1.126573317209060043e+01
1.206725638051044047e+00,1.126978550110088051e+01
1.206742072699149126e+00,1.127383878153547769e+01
1.206758507347254206e+00,1.127718964086697540e+01
1.206774941995359507e+00,1.127999130396791827e+01
1.206791376643464586e+00,1.128256536226195728e+01
1.206807811291569887e+00,1.128336140584410430e+01
1.206824245939675189e+00,1.128415719523371585e+01
1.206840680587780268e+00,1.128591320579289636e+01
1.206857115235885347e+00,1.128815095322423012e+01
1.206873549883990648e+00,1.128995674861729270e+01
1.206889984532095728e+00,1.129021467245033072e+01
1.206906419180201029e+00,1.129047213031907049e+01
1.206922853828306108e+00,1.129115092197289449e+01
1.206939288476411187e+00,1.129195507762693396e+01
1.206955723124516489e+00,1.129357143808198138e+01
1.206972157772621790e+00,1.129689403092171673e+01
1.206988592420726869e+00,1.130021731509893534e+01
1.207005027068832170e+00,1.130211754610098573e+01
1.207021461716937250e+00,1.130381380681313708e+01
