Wavelength (um),Refractive Index
0.09999999999999998, 1.5136928418734046 
0.15000000000000002, 1.491011483649121
0.20000000000000007, 1.4786654784254407
0.2499999999999999, 1.4709862481214662
0.29999999999999993, 1.4658615614749964
0.35, 1.4626310909682032
0.4, 1.4597533665780293
0.45000000000000007, 1.4577506842597656
0.4999999999999999, 1.4565677373190429
0.5499999999999999, 1.455268710910728
0.6, 1.4536863337963188
0.65, 1.452953184512549
0.7000000000000001, 1.4522091168291917
0.7500000000000001, 1.4514526311742808
0.8000000000000002, 1.450693640888332
0.8500000000000002, 1.4499364946955886
0.9000000000000005, 1.4491817104002382
0.9500000000000003, 1.4488626878234352
1.0000000000000004, 1.4484566334085798
1.0500000000000003, 1.4476737317616877
1.1000000000000005, 1.4469043554452166
1.1500000000000004, 1.4463635769118786
1.2000000000000006, 1.4461637628408568
1.2500000000000004, 1.4454099934021474
1.3000000000000007, 1.4446610013298506
1.3500000000000005, 1.444670109062209
1.4000000000000008, 1.4439016986328113
1.4500000000000006, 1.443141569594937
1.5000000000000009, 1.4423680114339568
1.5500000000000007, 1.4418324289523428
1.600000000000001, 1.441631768374995
1.6500000000000008, 1.4408809095526733
1.700000000000001, 1.440123979269323
1.7500000000000009, 1.4393705310450453
1.8000000000000012, 1.4385737314368232
1.850000000000001, 1.4381705918291148
1.9000000000000012, 1.4374979511603387
1.950000000000001, 1.4365462896315209
2.000000000000001, 1.435964705665951
2.0500000000000007, 1.435384270491815
2.1000000000000005, 1.4346644615677884
2.1500000000000004, 1.4337589305568392
2.2000000000000006, 1.4327186029115189
2.25, 1.4317669608804373
2.3, 1.43102627681551
2.3499999999999996, 1.4303156215474422
2.3999999999999995, 1.4295548137943703
2.4499999999999993, 1.4288799784601283
2.499999999999999, 1.427213557030775
2.549999999999999, 1.4265277822885094
2.5999999999999988, 1.4257562309414686
2.6499999999999986, 1.4249400067536393
2.6999999999999984, 1.4234753288327424
2.7499999999999982, 1.4227434940811754
2.799999999999998, 1.4212400612375842
2.849999999999998, 1.4205153063402376
2.8999999999999977, 1.419559899276241
2.9499999999999975, 1.4182261752886167
